代码,名称,实施日期,实施前简称,实施后简称,实施ST原因,证监会行业,Wind行业,证券类型
000008.SZ,ST宝利来,2002/4/30,亿安科技,ST亿安,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,信息技术业,Wind资本货物,A股
900946.SH,ST轻骑B,2002/4/29,轻骑B股,ST轻骑B,最近两年连续亏损，且被会计师事务所出具无法表示意见或否定的审计意见,机械、设备、仪表,Wind汽车与汽车零部件,B股
600698.SH,ST轻骑,2002/4/29,济南轻骑,ST轻骑,最近两年连续亏损，且被会计师事务所出具无法表示意见或否定的审计意见,机械、设备、仪表,Wind汽车与汽车零部件,A股
600870.SH,*ST厦华,2002/4/26,厦华电子,ST厦华,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind耐用消费品与服装,A股
000656.SZ,ST东源,2002/4/26,重庆东源,ST东源,被注册会计师出具无法表示意见或否定意见的审计报告,金属、非金属,Wind房地产,A股
000921.SZ,ST科龙,2002/4/26,科龙电器,ST科龙,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind耐用消费品与服装,A股
000638.SZ,万方地产,2002/4/25,中辽国际,ST辽国际,被注册会计师出具无法表示意见或否定意见的审计报告,房地产业,Wind房地产,A股
000618.SZ,吉林化工,2002/4/24,吉林化工,ST吉化,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
600842.SH,中西药业,2002/4/24,中西药业,ST中西,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
600646.SH,ST国嘉,2002/4/24,国嘉实业,ST国嘉,"追溯调整导致最近两年连续亏损,被注册会计师出具无法表示意见或否定意见的审计报告",,,A股
000603.SZ,*ST威达,2002/4/24,威达医械,ST威达,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,机械、设备、仪表,Wind零售业,A股
900950.SH,新城B股,2002/4/24,新城B股,ST新城B,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,B股
000699.SZ,S*ST佳纸,2002/4/24,佳纸股份,ST佳纸,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
600715.SH,ST松辽,2002/4/23,松辽汽车,ST松辽,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,机械、设备、仪表,Wind汽车与汽车零部件,A股
000826.SZ,合加资源,2002/4/23,国投原宜,ST原宜,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind公用事业Ⅱ,A股
000533.SZ,万家乐,2002/4/23,万家乐A,ST万家乐,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,机械、设备、仪表,Wind资本货物,A股
600057.SH,*ST夏新,2002/4/22,厦新电子,ST厦新,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,A股
000566.SZ,海南海药,2002/4/19,轻骑海药,ST海药,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000572.SZ,海马股份,2002/4/18,琼金盘A,ST金盘,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,综合类,Wind汽车与汽车零部件,A股
000567.SZ,海德股份,2002/4/18,琼海德A,ST琼海德,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind房地产,A股
000560.SZ,昆百大A,2002/4/18,昆百大A,ST昆百大,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind零售业,A股
000514.SZ,渝开发,2002/4/18,渝开发A,ST渝开发,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,房地产业,Wind房地产,A股
000405.SZ,ST鑫光,2002/4/17,有色鑫光,ST鑫光,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
000885.SZ,同力水泥,2002/4/17,春都A,ST春都,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
600786.SH,东方锅炉,2002/4/17,东方锅炉,ST东锅,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,,,A股
600858.SH,银座股份,2002/4/17,渤海集团,ST渤海,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind零售业,A股
600792.SH,ST马龙,2002/4/17,云南马龙,ST马龙,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
200054.SZ,建摩B,2002/4/17,深建摩B,ST建摩B,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,机械、设备、仪表,Wind汽车与汽车零部件,B股
000893.SZ,广州冷机,2002/4/9,广州冷机,ST冷机,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600669.SH,*ST鞍成,2002/4/9,鞍山合成,ST鞍合成,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,,,A股
000723.SZ,美锦能源,2002/4/9,天宇电气,ST天宇,最近两个会计年度的审计结果显示的净利润均为负值,石油、化学、塑胶、塑料,Wind能源Ⅱ,A股
000586.SZ,*ST汇源,2002/4/8,川长江A,ST川长江,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind技术硬件与设备,A股
000571.SZ,新大洲A,2002/3/29,新大洲A,ST新大洲,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind能源Ⅱ,A股
000851.SZ,高鸿股份,2002/3/27,中国七砂,ST七砂,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind技术硬件与设备,A股
600622.SH,嘉宝集团,2002/3/27,嘉宝实业,ST嘉宝,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind资本货物,A股
000678.SZ,襄阳轴承,2002/3/27,襄阳轴承,ST襄轴,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600603.SH,ST兴业,2002/3/26,兴业房产,ST兴业,交易所或中国证监会认定为财务状况异常,房地产业,Wind房地产,A股
600082.SH,海泰发展,2002/3/21,海泰发展,ST海泰,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,房地产业,Wind房地产,A股
600709.SH,ST生态,2002/3/19,生态农业,ST生态,交易所或中国证监会认定为财务状况异常,,,A股
600893.SH,航空动力,2001/10/10,吉发股份,ST吉发,交易所或中国证监会认定为财务状况异常,机械、设备、仪表,Wind资本货物,A股
600763.SH,通策医疗,2001/6/26,北京中燕,ST中燕,交易所或中国证监会认定为财务状况异常,纺织、服装、皮毛,Wind医疗保健设备与服务,A股
900928.SH,自仪B股,2001/5/8,自仪B股,ST自仪B,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,B股
600848.SH,自仪股份,2001/5/8,自仪股份,ST自仪,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,机械、设备、仪表,Wind资本货物,A股
000048.SZ,ST康达尔,2001/5/8,中科创业,ST中科,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,食品、饮料,Wind食品、饮料与烟草,A股
600734.SH,实达集团,2001/5/8,实达电脑,ST实达,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind技术硬件与设备,A股
000033.SZ,新都酒店,2001/5/8,新都酒店,ST新都,最近两个会计年度的审计结果显示的净利润均为负值,社会服务业,Wind消费者服务Ⅱ,A股
000416.SZ,民生投资,2001/4/30,青岛国货,ST国货,最近两个会计年度的审计结果显示的净利润均为负值,食品、饮料,Wind零售业,A股
600745.SH,中茵股份,2001/4/27,康赛集团,ST康赛,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,房地产业,Wind房地产,A股
000430.SZ,ST张家界,2001/4/27,张家界,ST张家界,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,社会服务业,Wind消费者服务Ⅱ,A股
600167.SH,联美控股,2001/4/26,黎明股份,ST黎明,追溯调整导致最近两年连续亏损,房地产业,Wind公用事业Ⅱ,A股
600753.SH,东方银星,2001/4/24,冰熊股份,ST冰熊,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,机械、设备、仪表,Wind房地产,A股
600768.SH,宁波富邦,2001/4/19,宁波华通,ST甬华通,追溯调整导致最近两年连续亏损，最近一个会计年度股东权益低于注册资本,交通运输、仓储业,Wind材料Ⅱ,A股
000007.SZ,ST达声,2001/4/19,深达声A,ST达声,追溯调整导致最近两年连续亏损，最近一个会计年度股东权益低于注册资本,房地产业,Wind消费者服务Ⅱ,A股
000788.SZ,西南合成,2001/4/18,合成制药,ST合成,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
600150.SH,中国船舶,2001/4/11,沪东重机,ST重机,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
600853.SH,龙建股份,2001/4/10,北满特钢,ST北特钢,最近两个会计年度的审计结果显示的净利润均为负值,建筑业,Wind资本货物,A股
000047.SZ,ST中侨,2001/4/9,深中侨A,ST中侨,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,,,A股
600109.SH,国金证券,2001/3/30,成百集团,ST成百,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,金融、保险业,Wind多元金融,A股
000662.SZ,索芙特,2001/3/28,广西康达,ST康达,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,综合类,Wind家庭与个人用品,A股
000535.SZ,*ST猴王,2001/3/7,猴王A,ST猴王,交易所或中国证监会认定为财务状况异常,,,A股
000675.SZ,ST银山,2001/2/21,银山化工,ST银山,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,,,A股
600743.SH,华远地产,2001/2/21,幸福实业,ST幸福,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,综合类,Wind房地产,A股
000838.SZ,国兴地产,2001/2/19,西南化机,ST西化机,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,建筑业,Wind房地产,A股
600703.SH,三安光电,2001/2/6,活力28,ST活力,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,电子,Wind技术硬件与设备,A股
600097.SH,开创国际,2000/7/17,恒泰芒果,ST恒泰,出现其它异常状况，实施特别处理,农、林、牧、渔业,Wind食品、饮料与烟草,A股
000550.SZ,江铃汽车,2000/6/5,江铃汽车,ST江铃,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
200550.SZ,江铃B,2000/6/5,赣江铃B,ST江铃B,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,B股
000602.SZ,金马集团,2000/5/11,金马集团,ST金马,被注册会计师出具无法表示意见或否定意见的审计报告,信息技术业,Wind材料Ⅱ,A股
000658.SZ,ST海洋,2000/5/10,海洋集团,ST海洋,被注册会计师出具无法表示意见或否定意见的审计报告,,,A股
000585.SZ,*ST东电,2000/5/9,东北电A,ST东北电,被注册会计师出具无法表示意见或否定意见的审计报告,机械、设备、仪表,Wind资本货物,A股
200003.SZ,PT金田B,2000/5/9,深金田B,ST金田B,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,,,B股
200011.SZ,*ST物业B,2000/5/9,深物业B,ST物业B,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,综合类,Wind房地产,B股
600696.SH,多伦股份,2000/5/9,福建豪盛,ST豪盛,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000003.SZ,PT金田A,2000/5/9,深金田A,ST金田A,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,,,A股
000011.SZ,S*ST物业,2000/5/9,深物业A,ST深物业,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,综合类,Wind房地产,A股
000592.SZ,中福实业,2000/5/9,中福实业,ST中福,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,农、林、牧、渔业,Wind材料Ⅱ,A股
600629.SH,棱光实业,2000/4/28,棱光实业,ST棱光,出现其它异常状况，实施特别处理,金属、非金属,Wind材料Ⅱ,A股
000689.SZ,ST宏业,2000/4/28,宏业集团,ST宏业,出现其它异常状况，实施特别处理,,,A股
600845.SH,宝信软件,2000/4/28,上海钢管,ST钢管,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind软件与服务,A股
900926.SH,宝信B,2000/4/28,钢管B股,ST钢管B,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind软件与服务,B股
000010.SZ,SST华新,2000/4/27,深华新A,ST深华新,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,批发和零售贸易,Wind资本货物,A股
600762.SH,S*ST金荔,2000/4/26,金荔科技,ST金荔,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
600137.SH,浪莎股份,2000/4/26,长江包装,ST包装,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,造纸、印刷,Wind耐用消费品与服装,A股
001696.SZ,宗申动力,2000/4/26,成都联益,ST联益,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,机械、设备、仪表,Wind汽车与汽车零部件,A股
000546.SZ,光华控股,2000/4/21,吉轻工A,ST吉轻工,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,房地产业,Wind房地产,A股
200025.SZ,深特力B,2000/4/19,深特力B,ST特力B,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,综合类,Wind零售业,B股
000025.SZ,特力A,2000/4/19,深特力A,ST特力A,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,综合类,Wind零售业,A股
000504.SZ,赛迪传媒,2000/4/19,港澳实业,ST港澳,追溯调整导致最近两年连续亏损，最近一个会计年度股东权益低于注册资本,传播与文化产业,Wind媒体Ⅱ,A股
600658.SH,兆维科技,2000/4/18,北京天龙,ST京天龙,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind技术硬件与设备,A股
600683.SH,京投银泰,2000/4/13,宁波华联,ST甬华联,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind资本货物,A股
600806.SH,昆明机床,2000/4/13,昆明机床,ST昆机,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind资本货物,A股
000038.SZ,*ST大通,2000/4/11,深大通A,ST深大通,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind房地产,A股
600721.SH,ST百花,2000/4/7,百花村,ST百花村,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind消费者服务Ⅱ,A股
000411.SZ,英特集团,2000/4/7,凯地丝绸,ST凯地,最近两个会计年度的审计结果显示的净利润均为负值,批发和零售贸易,Wind食品与主要用品零售Ⅱ,A股
000653.SZ,ST九州,2000/2/21,九州股份,ST九州,交易所或中国证监会认定为财务状况异常,,,A股
600775.SH,南京熊猫,1999/5/26,南京熊猫,ST熊猫,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,信息技术业,Wind技术硬件与设备,A股
600833.SH,第一医药,1999/5/18,商业网点,ST网点,追溯调整导致最近两年连续亏损，最近一个会计年度股东权益低于注册资本,批发和零售贸易,Wind食品与主要用品零售Ⅱ,A股
600874.SH,创业环保,1999/5/17,天津渤海,ST渤化,被注册会计师出具无法表示意见或否定意见的审计报告,社会服务业,Wind公用事业Ⅱ,A股
600759.SH,正和股份,1999/5/4,华侨投资,ST琼华侨,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,综合类,Wind房地产,A股
000588.SZ,PT粤金曼,1999/5/4,粤金曼A,ST粤金曼,被注册会计师出具无法表示意见或否定意见的审计报告,,,A股
200017.SZ,ST中华B,1999/5/4,深中华B,ST中华B,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,机械、设备、仪表,Wind耐用消费品与服装,B股
000613.SZ,ST东海A,1999/5/4,大东海A,ST东海A,被注册会计师出具无法表示意见或否定意见的审计报告,社会服务业,Wind消费者服务Ⅱ,A股
900931.SH,PT水仙B,1999/5/4,水仙B股,ST水仙B,最近两个会计年度的审计结果显示的净利润均为负值,,,B股
000502.SZ,绿景地产,1999/5/4,琼能源A,ST琼能源,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,房地产业,Wind房地产,A股
600625.SH,PT水仙,1999/5/4,水仙电器,ST水仙,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
200057.SZ,*ST大洋B,1999/5/4,深大洋B,ST大洋B,交易所或中国证监会认定为财务状况异常,,,B股
000556.SZ,PT南洋,1999/5/4,南洋航运,ST南洋,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,,,A股
600758.SH,红阳能源,1999/5/4,金帝建设,ST金帝,被注册会计师出具无法表示意见或否定意见的审计报告,建筑业,Wind公用事业Ⅱ,A股
200613.SZ,ST东海B,1999/5/4,大东海B,ST东海B,被注册会计师出具无法表示意见或否定意见的审计报告,社会服务业,Wind消费者服务Ⅱ,B股
000017.SZ,SST中华A,1999/5/4,深中华A,ST中华A,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,机械、设备、仪表,Wind耐用消费品与服装,A股
000034.SZ,*ST深泰,1999/4/30,深华宝A,ST深华宝,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,综合类,Wind资本货物,A股
000009.SZ,中国宝安,1999/4/30,深宝安A,ST深宝安,追溯调整导致最近两年连续亏损,综合类,Wind资本货物,A股
000639.SZ,金德发展,1999/4/30,株州庆云,ST株庆云,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,金属、非金属,Wind资本货物,A股
000555.SZ,ST太光,1999/4/29,黔凯涤,ST黔凯涤,最近两个会计年度的审计结果显示的净利润均为负值,信息技术业,Wind技术硬件与设备,A股
900915.SH,中路B股,1999/4/29,永久B股,ST永久B,追溯调整导致最近两年连续亏损,机械、设备、仪表,Wind耐用消费品与服装,B股
600691.SH,ST东碳,1999/4/29,东新电碳,ST东碳,追溯调整导致最近两年连续亏损,金属、非金属,Wind材料Ⅱ,A股
600818.SH,中路股份,1999/4/29,上海永久,ST永久,追溯调整导致最近两年连续亏损,机械、设备、仪表,Wind耐用消费品与服装,A股
000566.SZ,海南海药,1999/4/29,轻骑海药,ST海药,最近两个会计年度的审计结果显示的净利润均为负值,医药、生物制品,Wind制药、生物科技与生命科学,A股
600876.SH,ST洛玻,1999/4/29,洛阳玻璃,ST洛玻,最近两个会计年度的审计结果显示的净利润均为负值,金属、非金属,Wind材料Ⅱ,A股
600715.SH,ST松辽,1999/4/29,松辽汽车,ST松辽,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind汽车与汽车零部件,A股
000536.SZ,闽闽东,1999/4/29,闽闽东A,ST闽闽东,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,机械、设备、仪表,Wind技术硬件与设备,A股
200020.SZ,深华发B,1999/4/27,深华发B,ST华发B,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,B股
000522.SZ,白云山A,1999/4/27,白云山A,ST白云山,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,医药、生物制品,Wind制药、生物科技与生命科学,A股
000004.SZ,*ST国农,1999/4/27,深安达A,ST深安达,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,交通运输、仓储业,Wind制药、生物科技与生命科学,A股
900906.SH,ST中纺B,1999/4/27,中纺B股,ST中纺B,追溯调整导致最近两年连续亏损,机械、设备、仪表,Wind资本货物,B股
600610.SH,SST中纺,1999/4/27,中纺机,ST中纺机,追溯调整导致最近两年连续亏损,机械、设备、仪表,Wind资本货物,A股
600898.SH,*ST三联,1999/4/27,郑州百文,ST郑百文,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,批发和零售贸易,Wind零售业,A股
000020.SZ,深华发A,1999/4/27,深华发A,ST华发A,最近两个会计年度的审计结果显示的净利润均为负值,电子,Wind技术硬件与设备,A股
600847.SH,ST渝万里,1999/4/23,万里电池,ST渝万里,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,机械、设备、仪表,Wind资本货物,A股
000507.SZ,粤富华,1999/4/22,粤富华A,ST粤富华,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind资本货物,A股
000607.SZ,华立药业,1999/4/22,重庆川仪,ST重仪,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind食品与主要用品零售Ⅱ,A股
000526.SZ,旭飞投资,1999/4/19,厦海发A,ST厦海发,最近两个会计年度的审计结果显示的净利润均为负值,综合类,Wind房地产,A股
000030.SZ,*ST盛润A,1998/6/15,莱英达A,ST英达A,被注册会计师出具无法表示意见或否定意见的审计报告,其他制造业,Wind商业和专业服务,A股
000503.SZ,海虹控股,1998/6/15,海虹控股,ST海虹,交易所或中国证监会认定为财务状况异常,综合类,Wind软件与服务,A股
200030.SZ,*ST盛润B,1998/6/15,莱英达B,ST英达B,被注册会计师出具无法表示意见或否定意见的审计报告,其他制造业,Wind商业和专业服务,B股
000014.SZ,沙河股份,1998/6/15,深华源A,ST深华源,被注册会计师出具无法表示意见或否定意见的审计报告,房地产业,Wind房地产,A股
600855.SH,航天长峰,1998/6/10,北旅汽车,ST北旅,交易所或中国证监会认定为财务状况异常,机械、设备、仪表,Wind资本货物,A股
000049.SZ,德赛电池,1998/6/10,深万山A,ST深万山,交易所或中国证监会认定为财务状况异常,机械、设备、仪表,Wind技术硬件与设备,A股
000569.SZ,长城股份,1998/6/9,长城特钢,ST长钢,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,,,A股
600892.SH,*ST湖科,1998/6/8,石劝业,ST石劝业,交易所或中国证监会认定为财务状况异常,机械、设备、仪表,Wind资本货物,A股
600852.SH,*ST中川,1998/6/5,中川国际,ST中川,交易所或中国证监会认定为财务状况异常,,,A股
000669.SZ,领先科技,1998/5/18,吉诺尔,ST吉诺尔,交易所或中国证监会认定为财务状况异常,信息技术业,Wind食品与主要用品零售Ⅱ,A股
600670.SH,*ST斯达,1998/5/5,东北华联,ST北华联,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,,,A股
600083.SH,ST博信,1998/5/4,红光实业,ST红光,交易所或中国证监会认定为财务状况异常,电子,Wind技术硬件与设备,A股
600837.SH,海通证券,1998/5/4,农垦商社,ST农商社,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,金融、保险业,Wind多元金融,A股
000518.SZ,*ST生物,1998/5/4,苏三山A,ST苏三山,交易所或中国证监会认定为财务状况异常,医药、生物制品,Wind制药、生物科技与生命科学,A股
200015.SZ,PT中浩B,1998/5/4,深中浩B,ST中浩B,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,,,B股
600633.SH,*ST白猫,1998/5/4,双鹿电器,ST双鹿,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,石油、化学、塑胶、塑料,Wind家庭与个人用品,A股
600813.SH,ST鞍一工,1998/5/4,鞍山一工,ST鞍一工,最近两个会计年度的审计结果显示的净利润均为负值,,,A股
200413.SZ,宝石B,1998/5/4,宝石B,ST宝石B,交易所或中国证监会认定为财务状况异常,电子,Wind技术硬件与设备,B股
000015.SZ,PT中浩A,1998/5/4,深中浩A,ST中浩A,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,,,A股
000413.SZ,宝石A,1998/5/4,宝石A,ST宝石A,被注册会计师出具无法表示意见或否定意见的审计报告,电子,Wind技术硬件与设备,A股
000515.SZ,攀渝钛业,1998/4/30,渝钛白A,ST渝钛白,最近两个会计年度的审计结果显示的净利润均为负值，且最近一个会计年度每股净资产低于股票面值,,,A股
000506.SZ,ST中润,1998/4/30,峨眉集团,ST峨眉,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,房地产业,Wind房地产,A股
600831.SH,广电网络,1998/4/29,黄河科技,ST黄河科,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,传播与文化产业,Wind媒体Ⅱ,A股
600647.SH,同达创业,1998/4/29,粤海发展,ST粤海发,最近一个会计年度股东权益低于注册资本，即每股净资产低于股票面值,综合类,Wind资本货物,A股
900935.SH,阳晨B股,1998/4/29,金泰B股,ST金泰B,最近两个会计年度的审计结果显示的净利润均为负值,机械、设备、仪表,Wind公用事业Ⅱ,B股
000548.SZ,湖南投资,1998/4/29,湘中意A,ST湘中意,最近两个会计年度的审计结果显示的净利润均为负值,社会服务业,Wind运输,A股
000558.SZ,莱茵置业,1998/4/29,辽房天,ST辽房天,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000511.SZ,银基发展,1998/4/28,辽物资A,ST辽物资,最近两个会计年度的审计结果显示的净利润均为负值,房地产业,Wind房地产,A股
000017,*ST中华A,2010/5/30,,,08/09连续2年亏损,,,
000035,*ST科健,2010/5/31,,,两年,,,
000408,*ST玉源,2010/6/1,,,两年,,,
000415,*ST汇通,2010/6/2,,,两年,,,
000430,*ST张股,2010/6/3,,,两年,,,
000504,*ST传媒,2010/6/4,,,两年,,,
000509,S*ST华塑,2010/6/5,,,两年,,,
000629,*ST钒钛,2010/6/6,,,两年,,,
000673,*ST大水,2010/6/7,,,两年,,,
000676,*ST思达,2010/6/8,,,两年,,,
000703,*ST光华,2010/6/9,,,两年,,,
000716,*ST南方,2010/6/10,,,两年,,,
000760,*ST博盈,2010/6/11,,,两年,,,
000820,*ST金城,2010/6/12,,,两年,,,
000831,*ST关铝,2010/6/13,,,两年,,,
000902,*ST中服,2010/6/14,,,两年,,,
000908,*ST天一,2010/6/15,,,两年,,,
000922,*ST阿继,2010/6/16,,,两年,,,
000953,*ST河化,2010/6/17,,,两年,,,
000958,*ST东热,2010/6/18,,,两年,,,
000976,*ST春晖,2010/6/19,,,两年,,,
001896,*ST豫能,2010/6/20,,,两年,,,
002072,*ST德棉,2010/6/21,,,两年,,,
002145,*ST钛白,2010/6/22,,,两年,,,
600077,*ST百科,2010/6/23,,,两年,,,
600080,*ST金花,2010/6/24,,,两年,,,
600084,*ST中葡,2010/6/25,,,两年,,,
600091,*ST明科,2010/6/26,,,两年,,,
600179,*ST黑化,2010/6/27,,,两年,,,
600209,*ST罗顿,2010/6/28,,,两年,,,
600301,*ST南化,2010/6/29,,,两年,,,
600355,*ST精伦,2010/6/30,,,两年,,,
600373,*ST鑫新,2010/7/1,,,两年,,,
600444,*ST国通,2010/7/2,,,两年,,,
600455,*ST博通,2010/7/3,,,两年,,,
600462,*ST石岘,2010/7/4,,,两年,,,
600490,*ST合臣,2010/7/5,,,两年,,,
600515,*ST筑信,2010/7/6,,,两年,,,
600562,*ST高陶,2010/7/7,,,两年,,,
600608,*ST沪科,2010/7/8,,,两年,,,
600609,*ST金杯,2010/7/9,,,两年,,,
600617,*ST联华,2010/7/10,,,两年,,,
600634,*ST海鸟,2010/7/11,,,两年（调整）,,,
600691,*ST东碳,2010/7/12,,,两年,,,
600722,*ST金化,2010/7/13,,,两年,,,
600740,*ST山焦,2010/7/14,,,两年,,,
600757,*ST源发,2010/7/15,,,两年,,,
600769,*ST祥龙,2010/7/16,,,两年,,,
600860,*ST北人,2010/7/17,,,两年,,,
600885,*ST力阳,2010/7/18,,,两年,,,
600984,*ST建机,2010/7/19,,,两年,,,
600988,*ST宝龙,2010/7/20,,,两年,,,
000068,ST三星,2010/7/21,,,无法表示审计报告,,,
000557,*ST广夏,2010/7/22,,,重整程序,,,
